epoch,train_loss
0,2433205.55
1,2429566.625
2,2425662.3
3,2421273.7
4,2416266.95
5,2410599.95
6,2404190.475
7,2396993.7
8,2388925.625
9,2379984.55
10,2370153.175
11,2359449.375
12,2347845.05
13,2335385.75
14,2322064.725
15,2307840.1
16,2292744.725
17,2276772.375
18,2259949.8
19,2242299.7375
20,2223807.375
21,2204444.6125
22,2184260.725
23,2163337.15
24,2141611.5125
25,2119121.1
26,2095959.4625
27,2072060.9
28,2047497.7375
29,2022330.075
30,1996567.0875
31,1970179.1625
32,1943222.8875
33,1915768.6875
34,1887837.6625
35,1859390.95
36,1830474.8
37,1801141.8
38,1771499.8875
39,1741386.1375
40,1711029.325
41,1680298.125
42,1649312.4625
43,1618169.175
44,1586643.675
45,1555059.375
46,1523358.4
47,1491455.325
48,1459453.8125
49,1427535.6375
50,1395532.9
51,1363529.9375
52,1331613.7625
53,1299747.4875
54,1268087.1875
55,1236505.2875
56,1205123.0
57,1173939.225
58,1143076.6625
59,1112281.35
60,1081917.6625
61,1051874.79375
62,1022076.79375
63,992696.56875
64,963679.19375
65,935018.13125
66,906889.21875
67,879145.24375
68,851812.75625
69,825025.975
70,798700.2625
71,772780.46875
72,747532.99375
73,722839.90625
74,698600.04375
75,674888.975
76,651697.15625
77,629195.24375
78,607197.79375
79,585816.73125
80,564994.125
81,544670.35625
82,525085.665625
83,505953.215625
84,487480.503125
85,469655.05
86,452282.0
87,435537.50625
88,419529.303125
89,403845.36875
90,389017.89375
91,374567.41875
92,360802.60625
93,347467.35
94,334764.503125
95,322705.76875
96,311008.6484375
97,299859.4375
98,289399.628125
99,279137.928125
100,269454.959375
101,260456.8203125
102,251523.4984375
103,243527.2296875
104,235647.3
105,228262.925
106,221186.5515625
107,214553.5328125
108,208394.2828125
109,202349.5046875
110,196834.2765625
111,191720.2453125
112,186773.415625
113,182176.9546875
114,177761.9828125
115,173794.5171875
116,169980.778125
117,166444.934375
118,163090.73828125
119,160073.3828125
120,157131.73359375
121,154463.25625
122,151902.37109375
123,149619.8953125
124,147459.78046875
125,145418.0859375
126,143507.4578125
127,141788.8609375
128,140148.06015625
129,138646.58203125
130,137233.84921875
131,135929.434375
132,134725.17890625
133,133609.91640625
134,132534.99375
135,131559.484375
136,130654.08828125
137,129837.59140625
138,129021.3546875
139,128246.89765625
140,127573.2734375
141,126927.20703125
142,126273.384375
143,125729.95546875
144,125174.740625
145,124656.95625
146,124154.74609375
147,123673.41953125
148,123220.35859375
149,122801.5453125
150,122394.1203125
151,121974.0015625
152,121576.2625
153,121205.95234375
154,120858.79140625
155,120484.6375
156,120131.46328125
157,119779.21171875
158,119447.47109375
159,119106.571875
160,118772.15078125
161,118438.2890625
162,118115.88515625
163,117772.40546875
164,117454.3703125
165,117122.34609375
166,116795.87421875
167,116461.5828125
168,116126.29921875
169,115799.27890625
170,115459.328125
171,115128.415625
172,114784.06953125
173,114432.73125
174,114099.575
175,113744.3390625
176,113393.928125
177,113041.78984375
178,112687.28515625
179,112319.1015625
180,111965.27890625
181,111587.52421875
182,111229.10390625
183,110853.76640625
184,110456.66328125
185,110100.8421875
186,109695.74609375
187,109313.5640625
188,108928.03203125
189,108534.5875
190,108127.759375
191,107721.61015625
192,107335.7046875
193,106903.7015625
194,106497.74375
195,106089.20703125
196,105669.02890625
197,105247.025390625
198,104821.25234375
199,104434.7625
200,103973.09375
201,103551.95078125
202,103114.91953125
203,102682.06328125
204,102246.075
205,101794.99296875
206,101363.37578125
207,100922.87578125
208,100468.94609375
209,100018.3
210,99558.8359375
211,99107.834375
212,98653.85234375
213,98192.85390625
214,97741.05234375
215,97280.27421875
216,96817.88984375
217,96353.09296875
218,95887.85859375
219,95417.178125
220,94954.3203125
221,94472.66171875
222,94004.98515625
223,93525.71953125
224,93065.00234375
225,92573.7234375
226,92119.61953125
227,91632.0421875
228,91165.790625
229,90680.68125
230,90215.78515625
231,89738.5640625
232,89249.06171875
233,88787.6078125
234,88300.59296875
235,87822.9453125
236,87352.80703125
237,86872.6359375
238,86388.7
239,85911.90390625
240,85450.57734375
241,84960.682421875
242,84481.404296875
243,84012.19921875
244,83536.37734375
245,83067.634375
246,82578.778515625
247,82106.175390625
248,81626.116796875
249,81161.58125
250,80686.67734375
251,80218.492578125
252,79758.0421875
253,79271.78046875
254,78823.36875
255,78334.97109375
256,77860.342578125
257,77406.500390625
258,76951.807421875
259,76469.095703125
260,76017.928515625
261,75552.075390625
262,75076.070703125
263,74636.1765625
264,74166.39375
265,73716.1078125
266,73249.045703125
267,72793.738671875
268,72328.403125
269,71900.862890625
270,71441.731640625
271,70990.248828125
272,70531.08671875
273,70095.640625
274,69645.9109375
275,69194.844921875
276,68760.58515625
277,68317.653125
278,67865.152734375
279,67442.562109375
280,66996.631640625
281,66569.65546875
282,66132.9546875
283,65702.94296875
284,65271.675390625
285,64838.096875
286,64418.052734375
287,63985.051953125
288,63578.355859375
289,63150.904296875
290,62730.473828125
291,62312.348828125
292,61889.4671875
293,61480.103515625
294,61082.465234375
295,60660.066796875
296,60251.978125
297,59838.364453125
298,59460.496484375
299,59045.459765625
300,58640.9578125
301,58246.06640625
302,57855.205078125
303,57460.925
304,57066.2015625
305,56676.43359375
306,56282.42734375
307,55913.057421875
308,55509.879296875
309,55146.082421875
310,54758.182421875
311,54386.987109375
312,54001.48515625
313,53644.673828125
314,53261.058984375
315,52888.54609375
316,52531.060546875
317,52164.540625
318,51808.220703125
319,51441.395703125
320,51091.205859375
321,50731.21328125
322,50377.6921875
323,50032.140625
324,49685.309375
325,49333.734375
326,48994.4125
327,48653.598046875
328,48303.36328125
329,47971.11015625
330,47633.232421875
331,47296.948046875
332,46972.103125
333,46638.075
334,46305.848828125
335,45989.3921875
336,45665.523046875
337,45344.784765625
338,45024.02265625
339,44711.1205078125
340,44398.57421875
341,44082.4875
342,43767.2638671875
343,43473.9123046875
344,43167.96875
345,42856.66171875
346,42566.0583984375
347,42268.455859375
348,41965.871875
349,41667.973046875
350,41377.9958984375
351,41087.113671875
352,40796.034375
353,40508.2328125
354,40222.3328125
355,39946.792578125
356,39666.1560546875
357,39392.3330078125
358,39111.903515625
359,38839.854296875
360,38569.782421875
361,38295.223828125
362,38031.2849609375
363,37770.260546875
364,37518.079296875
365,37251.9787109375
366,36993.9607421875
367,36730.40078125
368,36473.16484375
369,36223.0423828125
370,35963.507421875
371,35722.92734375
372,35473.6427734375
373,35224.71328125
374,34992.1712890625
375,34745.63125
376,34510.3556640625
377,34270.9869140625
378,34032.8720703125
379,33812.91484375
380,33568.76640625
381,33337.14921875
382,33114.392578125
383,32886.7244140625
384,32663.8072265625
385,32440.0005859375
386,32219.6033203125
387,32002.62265625
388,31785.084375
389,31574.61875
390,31353.6935546875
391,31146.0408203125
392,30951.0982421875
393,30732.4451171875
394,30521.878515625
395,30311.1171875
396,30114.1958984375
397,29918.7353515625
398,29710.7654296875
399,29518.8552734375
400,29314.3158203125
401,29126.496875
402,28932.1060546875
403,28737.9419921875
404,28547.8697265625
405,28353.151171875
406,28172.8501953125
407,27982.2984375
408,27801.4828125
409,27616.4259765625
410,27435.5314453125
411,27250.68359375
412,27078.3771484375
413,26895.7611328125
414,26729.4109375
415,26551.349609375
416,26379.2330078125
417,26207.51328125
418,26044.7740234375
419,25868.03984375
420,25692.54921875
421,25525.68046875
422,25366.83203125
423,25202.777734375
424,25038.213671875
425,24874.3736328125
426,24723.3052734375
427,24564.50390625
428,24394.66015625
429,24245.88046875
430,24096.306640625
431,23937.0380859375
432,23785.6625
433,23631.4466796875
434,23486.61484375
435,23336.2912109375
436,23183.610546875
437,23038.93935546875
438,22890.4828125
439,22751.67861328125
440,22601.1517578125
441,22465.0169921875
442,22322.650390625
443,22177.1724609375
444,22039.2041015625
445,21908.633203125
446,21763.991796875
447,21635.5861328125
448,21500.22470703125
449,21359.4162109375
450,21226.3833984375
451,21097.73759765625
452,20961.7341796875
453,20831.41591796875
454,20704.5443359375
455,20583.52431640625
456,20457.225
457,20318.932421875
458,20198.3525390625
459,20074.8814453125
460,19950.2775390625
461,19832.11572265625
462,19703.84921875
463,19588.55849609375
464,19467.8828125
465,19354.1578125
466,19227.347265625
467,19112.78974609375
468,18995.284375
469,18879.17021484375
470,18765.183203125
471,18652.72685546875
472,18539.03408203125
473,18430.6265625
474,18323.22138671875
475,18214.53154296875
476,18100.26083984375
477,17989.4322265625
478,17885.12275390625
479,17775.57568359375
480,17670.8208984375
481,17566.8927734375
482,17472.64921875
483,17357.85478515625
484,17255.22216796875
485,17161.3896484375
486,17052.668359375
487,16953.24951171875
488,16857.27578125
489,16765.88125
490,16658.64208984375
491,16565.4388671875
492,16465.441015625
493,16384.59970703125
494,16275.71220703125
495,16184.01650390625
496,16096.1337890625
497,15998.2888671875
498,15911.483203125
499,15816.02939453125
500,15726.926953125
501,15644.5091796875
502,15553.39462890625
503,15464.2263671875
504,15377.00166015625
505,15292.03466796875
506,15207.3765625
507,15123.82958984375
508,15043.06064453125
509,14955.81240234375
510,14874.9390625
511,14791.02138671875
512,14715.65859375
513,14633.6212890625
514,14552.3380859375
515,14476.387939453125
516,14399.3375
517,14321.954296875
518,14241.39140625
519,14163.84853515625
520,14093.06630859375
521,14014.273828125
522,13946.1392578125
523,13869.2732421875
524,13795.6546875
525,13728.06279296875
526,13658.0634765625
527,13587.3796875
528,13514.522216796875
529,13445.97275390625
530,13374.341015625
531,13306.46962890625
532,13246.98173828125
533,13170.34365234375
534,13103.99833984375
535,13041.527734375
536,12976.42841796875
537,12918.12060546875
538,12848.057373046875
539,12786.0025390625
540,12727.9705078125
541,12660.51298828125
542,12599.53369140625
543,12541.136474609375
544,12479.43408203125
545,12415.9048828125
546,12358.18515625
547,12315.581201171875
548,12240.192236328125
549,12186.905859375
550,12136.813671875
551,12072.26455078125
552,12015.44736328125
553,11961.41142578125
554,11902.7470703125
555,11856.73984375
